Country,Neighbourhood,Government,Scientist,Journalist,Doctor_ Nurses,Philantropist,Traditional_Healers,Country_Trust_Score
Taiwan,86,65.08,86.57,35.13,96.54,71.49,64.45,72.18
Tajikistan,70.9,,84.78,57.68,79.29,47.22,59.08,56.99
Tanzania,88.91,93.69,89.76,90.83,96.37,88.18,37.04,83.54
Thailand,71.78,58.55,91.08,72.37,96.14,57.8,69,73.82
Tunisia,62.81,26.87,80.16,45.91,78.89,53.72,46.59,56.42
Turkey,66.67,60.38,83.54,55.7,90.92,61.21,68.57,69.57
Uganda,47.01,46.64,63.75,63.17,77.9,64.55,19.68,54.67
Ukraine,75.47,29.34,84.69,41.84,67.65,57.08,18.13,53.46
United Arab Emirates,70.97,,81.19,68,86.71,84.74,64.93,65.22
United Kingdom,88.14,49.65,90.28,60.69,93.27,86.69,37.71,72.35
United States,89.7,53.49,93.66,58.78,96.69,88.25,64.67,77.89
Uruguay,79.75,74.13,90.99,64.8,93.18,78.82,20.19,71.69
Uzbekistan,90.51,97.45,93.34,90.36,93.48,83.08,45.52,84.82
Venezuela,61.17,29.6,66.7,53.85,77.46,59.52,27.05,53.62
Vietnam,77.74,,76.91,60.07,88.43,79.31,79.53,66.00
Zambia,45.3,47.73,51.23,59.81,72.71,62.07,14.17,50.43
Zimbabwe,64.96,67.77,73.22,65.99,81.51,83.9,31.66,67.00
Category_Trust_Score ,73.63,56.93,79.63,59.56,84.66,69.60,44.98,66.49
